home_rolling_ENR,away_rolling_ENR,home_eFG%,away_eFG%,home_win,predicted_home_win,home_win_probability,correct_prediction
0.0,-1.5,0.4349112426035503,0.5031055900621118,1,1,0.5285340759393777,True
1.0,1.0,0.48466257668711654,0.5159235668789809,0,1,0.5808129948065344,False
5.0,-3.0,0.47904191616766467,0.4880952380952381,1,1,0.7497999235286986,True
2.0,-1.0,0.4819277108433735,0.47904191616766467,0,1,0.6984908060902889,False
7.5,-4.5,0.503030303030303,0.4970414201183432,1,1,0.819602591277793,True
-0.5,5.5,0.43636363636363634,0.49056603773584906,0,0,0.42813537473585156,True
4.5,4.0,0.48466257668711654,0.4431137724550898,0,1,0.7338334312088878,False
3.0,7.0,0.4268292682926829,0.4869281045751634,1,0,0.45385050028532226,False
0.5,-3.0,0.4457831325301205,0.4625,1,1,0.6693670573358652,True
8.5,7.5,0.4375,0.47928994082840237,1,1,0.5853344478782906,True
-0.5,7.5,0.4260355029585799,0.4578313253012048,0,0,0.44269972239462996,True
4.5,7.0,0.4968944099378882,0.4879518072289157,1,1,0.6260971532437949,True
6.5,7.5,0.42378048780487804,0.47865853658536583,0,1,0.5212803684783724,False
3.5,4.0,0.4375,0.5174418604651163,1,0,0.4712550484692305,False
6.5,0.0,0.49693251533742333,0.47315436241610737,0,1,0.7829201996862247,False
6.0,4.5,0.4818181818181818,0.50920245398773,1,1,0.6191115135839917,True
4.5,13.5,0.45121951219512196,0.5131578947368421,0,0,0.36579528282456714,True
-1.0,2.0,0.45535714285714285,0.4873417721518987,1,1,0.527171859146682,True
-3.5,4.0,0.44571428571428573,0.45121951219512196,0,1,0.5047075843837302,False
2.0,7.5,0.5222929936305732,0.43902439024390244,1,1,0.7195450248201862,True
0.0,3.0,0.4861111111111111,0.5133333333333333,1,1,0.5368142812736781,True
-2.5,-0.5,0.48742138364779874,0.477124183006536,1,1,0.6309543802068048,True
8.5,7.0,0.47468354430379744,0.49032258064516127,1,1,0.6457892404991026,True
7.5,13.5,0.527027027027027,0.5098039215686274,0,1,0.5863040473052883,False
3.5,9.5,0.4772727272727273,0.527027027027027,0,0,0.43936413442806416,True
8.5,4.0,0.47368421052631576,0.4935897435897436,1,1,0.684177206239834,True
3.5,-4.0,0.4431137724550898,0.426056338028169,1,1,0.7848234946322707,True
-3.5,-1.0,0.5094339622641509,0.4662576687116564,1,1,0.6858552097158864,True
2.5,0.5,0.48936170212765956,0.4642857142857143,1,1,0.7241773784946227,True
-2.0,-1.0,0.48333333333333334,0.45962732919254656,1,1,0.6741114799617355,True
4.0,2.0,0.49363057324840764,0.4937106918238994,1,1,0.6790835779871943,True
8.5,-4.5,0.46726190476190477,0.4272151898734177,0,1,0.8692940525898859,False
2.5,0.5,0.48936170212765956,0.4897260273972603,1,1,0.6774348469576333,True
-4.0,5.5,0.43661971830985913,0.47202797202797203,1,0,0.4053311941224128,False
-3.0,-1.0,0.4810126582278481,0.4716981132075472,0,1,0.6288188222557265,False
3.5,2.0,0.43506493506493504,0.49044585987261147,1,1,0.5599073937938546,True
-4.5,8.5,0.4272151898734177,0.48823529411764705,1,0,0.29890174978785733,False
2.5,-1.0,0.46153846153846156,0.46835443037974683,1,1,0.6892556960377441,True
0.5,7.0,0.4897260273972603,0.5460122699386503,1,0,0.41314485259568884,False
7.5,-1.0,0.4805194805194805,0.43661971830985913,1,1,0.8329881539675688,True
-3.0,12.5,0.48717948717948717,0.5,0,0,0.35159455054293953,True
3.5,5.5,0.546583850931677,0.5031645569620253,1,1,0.6979451290535811,True
-3.0,-3.0,0.4295774647887324,0.48717948717948717,1,1,0.5228655254178401,True
7.5,8.5,0.4966442953020134,0.47023809523809523,1,1,0.6869197735541024,True
4.0,2.5,0.506578947368421,0.4768211920529801,1,1,0.7258155469442233,True
-4.5,-0.5,0.47315436241610737,0.47,1,1,0.581535158960777,True
-3.0,-1.0,0.4246575342465753,0.5095541401273885,0,0,0.42882155583586545,True
3.5,-3.0,0.5032894736842105,0.4597315436241611,1,1,0.8088876237731191,True
9.0,-3.0,0.5074074074074074,0.43641618497109824,1,1,0.8898460042592506,True
3.0,-3.0,0.5096153846153846,0.4483870967741935,0,1,0.8262755239754376,False
